age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261
57,services,married,high.school,unknown,no,no,telephone,may,mon,149
37,services,married,high.school,no,yes,no,telephone,may,mon,226
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151
56,services,married,high.school,no,no,yes,telephone,may,mon,307
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198
59,admin.,married,professional.course,no,no,no,telephone,may,mon,139
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217
24,technician,,professional.course,no,yes,no,telephone,may,mon,380
25,services,single,high.school,no,yes,no,telephone,may,mon,50
25,services,single,high.school,no,yes,no,telephone,may,mon,50
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55
25,services,single,high.school,no,yes,no,telephone,may,mon,222
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137
57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146
54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440
50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353
39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195
30,unemployed,married,high.school,no,,no,telephone,may,mon,38
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262
55,retired,single,high.school,no,yes,no,telephone,may,mon,342
41,technician,single,high.school,no,yes,no,telephone,may,mon,181
37,admin.,married,high.school,no,yes,no,telephone,may,mon,172
35,technician,married,university.degree,no,no,yes,telephone,may,mon,99
59,technician,married,unknown,no,yes,no,mobile,may,mon,93
39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255